Name,Selling_Price,Original_Price,Display,Size,Screen_resolution,OS,Launch_Year,Ratings
Samsung,102999.0,163900.0,Qled Ultra Hd (4K),55,3840x2160,Tizen,2020,4.4
Lg,232899.0,349990.0,Ultra Hd (4K),65,3840x2160,Webos,2018,4.4
Samsung,38090.0,51400.0,Ultra Hd (4K),43,3840x2160,Tizen,2024,4.3
Lg,38890.0,47990.0,Ultra Hd (4K),43,840x2,Webos,2023,4.3
Samsung,55990.0,91900.0,Qled Ultra Hd (4K),43,3840x2160,Tizen,2022,4.2
Samsung,36990.0,54900.0,Ultra Hd (4K),43,3840x2160,Tizen,2021,4.2
Samsung,64990.0,79900.0,Qled Ultra Hd (4K),43,3840x2160,Tizen,2024,4.3
Samsung,64990.0,89990.0,Qled Ultra Hd (4K),50,3840x2160,Tizen,2021,3.7
Sansui,57999.0,79990.0,Qled Ultra Hd (4K),65,3840x2160,Google,2022,4.2
Tcl,51999.0,126990.0,Ultra Hd (4K),65,3840x2160,Google,2023,4.1
Samsung,225900.0,239900.0,Ultra Hd (4K),65,3840x2160,Tizen,2024,4.3
Lg,346299.0,499990.0,Ultra Hd (4K),65,3840x2160,Webos,2018,4.3
Sony,318799.0,449900.0,Ultra Hd (4K),65,3840x2160,Android,2018,4.4
Samsung,172900.0,188900.0,Ultra Hd (4K),55,3840x2160,Tizen,2024,4.3
Kodak,32899.0,33999.0,Ultra Hd (4K),50,3840x2160,Android,2021,4.3
Samsung,117990.0,159900.0,Qled Ultra Hd (4K),65,3840x2160,Tizen,2024,4.3
Samsung,89990.0,192990.0,Qled Ultra Hd (4K),55,3840x2160,Tizen,2021,4.3
Sony,44990.0,66900.0,Ultra Hd (4K),43,3840x2160,Android,2021,4.6
Acer,26490.0,42990.0,Ultra Hd (4K),43,3840x2160,Google,2024,4.1
Samsung,119879.0,219900.0,Qled Ultra Hd (4K),55,3840x2160,Tizen,2022,5.0
Samsung,191599.0,279900.0,Qled Ultra Hd (4K),65,3840x2160,Tizen,2019,3.5
Lg,32121.0,46990.0,Full Hd Led,43,1080x1920,Webos,2019,4.4
Mi,84999.0,199999.0,Qled Ultra Hd (4K),75,3840x2160,Android,2021,4.4
Samsung,373099.0,589900.0,Qled Ultra Hd (4K),75,3840x2160,Tizen,2022,4.3
Lg,35999.0,59990.0,Ultra Hd (4K),43,3840x2160,Webos,2022,4.5
Lg,129990.0,254990.0,Ultra Hd (4K),65,3840x2160,Webos,2020,4.7
Lg,339699.0,549990.0,Ultra Hd (4K),75,3840x2160,Webos,2020,4.3
Hisense,56490.0,99990.0,Ultra Hd (4K),65,3840x2160,Google,2023,4.3
Toshiba,34900.0,34990.0,Full Hd Led,43,1080x1920,Android,2022,4.3
Hyundai,45899.0,97990.0,Ultra Hd (4K),55,3840x2160,Webos,2021,4.2
Sony,57940.0,85900.0,Ultra Hd (4K),50,3840x2160,Google,2023,4.7
Lloyd,25899.0,42490.0,Full Hd Led,43,1080x1920,Webos,2023,4.3
Lg,86999.0,149990.0,Ultra Hd (4K),55,3840x2160,Webos,2020,4.7
Lg,38038.0,47990.0,Ultra Hd (4K),43,3840x2160,Webos,2022,4.3
Sony,144990.0,229000.0,Ultra Hd (4K),65,3840x2160,Android,2022,5.0
Lg,55990.0,79990.0,Ultra Hd (4K),55,3840x2160,Webos,2021,4.4
Sony,189499.0,249900.0,Ultra Hd (4K),55,3840x2160,Android,2019,3.9
Haier,41990.0,69990.0,Ultra Hd (4K),55,3840x2160,Google,2023,4.2
Tcl,33999.0,58000.0,Ultra Hd (4K),55,3840x2160,Google,2023,4.0
Tcl,99990.0,229990.0,Ultra Hd (4K),65,3840x2160,Google,2024,4.2
Lg,99990.0,139990.0,Ultra Hd (4K),55,3840x2160,Webos,2022,4.4
Motorola,59999.0,116999.0,Ultra Hd (4K),70,3840x2160,Google,2023,4.3
Sansui,36840.0,59990.0,Ultra Hd (4K),55,3840x2160,Android,2020,4.3
Bpl,28299.0,42000.0,Ultra Hd (4K),43,3840x2160,Android,2023,4.3
